ts,symbol,price,change,changePct,currency
2026-07-02T02:09:32.334Z,005930.KS,300500,-14000,-4.4515,KRW
2026-07-02T02:09:32.334Z,000660.KS,2409000,-151000,-5.8984,KRW
2026-07-02T02:09:32.334Z,373220.KS,362500,14500,4.1667,KRW
2026-07-02T02:09:32.334Z,207940.KS,1443000,47000,3.3668,KRW
2026-07-02T02:09:32.334Z,005380.KS,497500,10000,2.0513,KRW
2026-07-02T02:09:32.334Z,000270.KS,147300,5800,4.0989,KRW
2026-07-02T02:09:32.334Z,068270.KS,182000,7500,4.298,KRW
2026-07-02T02:09:32.334Z,005490.KS,321000,6000,1.9048,KRW
2026-07-02T02:09:32.334Z,105560.KS,170300,11800,7.4448,KRW
2026-07-02T02:09:32.334Z,006400.KS,492000,1000,0.2037,KRW
2026-07-02T02:09:32.334Z,AAPL,294.38,5.02,1.7349,USD
2026-07-02T02:09:32.334Z,NVDA,197.58,-2.51,-1.2544,USD
2026-07-02T02:09:32.334Z,MSFT,384.28,11.26,3.0186,USD
2026-07-02T02:09:32.334Z,AMZN,241.7,3.36,1.4098,USD
2026-07-02T02:09:32.334Z,GOOGL,361.21,3.84,1.0745,USD
2026-07-02T02:09:32.334Z,META,612.91,49.62,8.809,USD
2026-07-02T02:09:32.334Z,TSLA,425.3,4.7,1.1174,USD
2026-07-02T02:09:32.334Z,AVGO,369.34,-8.41,-2.2263,USD
2026-07-02T02:09:32.334Z,BRK-B,499.74,-0.65,-0.1299,USD
2026-07-02T02:09:32.334Z,JPM,334.07,6.74,2.0591,USD
2026-07-02T02:43:16.246Z,005930.KS,300000,-14500,-4.6105,KRW
2026-07-02T02:43:16.246Z,000660.KS,2408000,-152000,-5.9375,KRW
2026-07-02T02:43:16.246Z,373220.KS,354500,6500,1.8678,KRW
2026-07-02T02:43:16.246Z,207940.KS,1422000,26000,1.8625,KRW
2026-07-02T02:43:16.246Z,005380.KS,493000,5500,1.1282,KRW
2026-07-02T02:43:16.246Z,000270.KS,145300,3800,2.6855,KRW
2026-07-02T02:43:16.246Z,068270.KS,179800,5300,3.0372,KRW
2026-07-02T02:43:16.246Z,005490.KS,318000,3000,0.9524,KRW
2026-07-02T02:43:16.246Z,105560.KS,172400,13900,8.7697,KRW
2026-07-02T02:43:16.246Z,006400.KS,484000,-7000,-1.4257,KRW
2026-07-02T02:43:16.246Z,AAPL,294.38,5.02,1.7349,USD
2026-07-02T02:43:16.246Z,NVDA,197.58,-2.51,-1.2544,USD
2026-07-02T02:43:16.246Z,MSFT,384.28,11.26,3.0186,USD
2026-07-02T02:43:16.246Z,AMZN,241.7,3.36,1.4098,USD
2026-07-02T02:43:16.246Z,GOOGL,361.21,3.84,1.0745,USD
2026-07-02T02:43:16.246Z,META,612.91,49.62,8.809,USD
2026-07-02T02:43:16.246Z,TSLA,425.3,4.7,1.1174,USD
2026-07-02T02:43:16.246Z,AVGO,369.34,-8.41,-2.2263,USD
2026-07-02T02:43:16.246Z,BRK-B,499.74,-0.65,-0.1299,USD
2026-07-02T02:43:16.246Z,JPM,334.07,6.74,2.0591,USD
2026-07-02T04:01:59.407Z,005930.KS,295000,-19500,-6.2003,KRW
2026-07-02T04:01:59.407Z,000660.KS,2372000,-188000,-7.3438,KRW
2026-07-02T04:01:59.407Z,373220.KS,357500,9500,2.7299,KRW
2026-07-02T04:01:59.407Z,207940.KS,1418000,22000,1.5759,KRW
2026-07-02T04:01:59.407Z,005380.KS,493500,6000,1.2308,KRW
2026-07-02T04:01:59.407Z,000270.KS,145900,4400,3.1095,KRW
2026-07-02T04:01:59.407Z,068270.KS,179400,4900,2.808,KRW
2026-07-02T04:01:59.407Z,005490.KS,318500,3500,1.1111,KRW
2026-07-02T04:01:59.407Z,105560.KS,171400,12900,8.1388,KRW
2026-07-02T04:01:59.407Z,006400.KS,484250,-6750,-1.3747,KRW
2026-07-02T04:01:59.407Z,AAPL,294.38,5.02,1.7349,USD
2026-07-02T04:01:59.407Z,NVDA,197.58,-2.51,-1.2544,USD
2026-07-02T04:01:59.407Z,MSFT,384.28,11.26,3.0186,USD
2026-07-02T04:01:59.407Z,AMZN,241.7,3.36,1.4098,USD
2026-07-02T04:01:59.407Z,GOOGL,361.21,3.84,1.0745,USD
2026-07-02T04:01:59.407Z,META,612.91,49.62,8.809,USD
2026-07-02T04:01:59.407Z,TSLA,425.3,4.7,1.1174,USD
2026-07-02T04:01:59.407Z,AVGO,369.34,-8.41,-2.2263,USD
2026-07-02T04:01:59.407Z,BRK-B,499.74,-0.65,-0.1299,USD
2026-07-02T04:01:59.407Z,JPM,334.07,6.74,2.0591,USD
2026-07-02T04:58:25.034Z,005930.KS,291250,-23250,-7.3927,KRW
2026-07-02T04:58:25.034Z,000660.KS,2325000,-235000,-9.1797,KRW
2026-07-02T04:58:25.034Z,373220.KS,354000,6000,1.7241,KRW
2026-07-02T04:58:25.034Z,207940.KS,1410000,14000,1.0029,KRW
2026-07-02T04:58:25.034Z,005380.KS,491000,3500,0.7179,KRW
2026-07-02T04:58:25.034Z,000270.KS,146700,5200,3.6749,KRW
2026-07-02T04:58:25.034Z,068270.KS,178400,3900,2.235,KRW
2026-07-02T04:58:25.034Z,005490.KS,317500,2500,0.7937,KRW
2026-07-02T04:58:25.034Z,105560.KS,168600,10100,6.3722,KRW
2026-07-02T04:58:25.034Z,006400.KS,478000,-13000,-2.6477,KRW
2026-07-02T04:58:25.034Z,AAPL,294.38,5.02,1.7349,USD
2026-07-02T04:58:25.034Z,NVDA,197.58,-2.51,-1.2544,USD
2026-07-02T04:58:25.034Z,MSFT,384.28,11.26,3.0186,USD
2026-07-02T04:58:25.034Z,AMZN,241.7,3.36,1.4098,USD
2026-07-02T04:58:25.034Z,GOOGL,361.21,3.84,1.0745,USD
2026-07-02T04:58:25.034Z,META,612.91,49.62,8.809,USD
2026-07-02T04:58:25.034Z,TSLA,425.3,4.7,1.1174,USD
2026-07-02T04:58:25.034Z,AVGO,369.34,-8.41,-2.2263,USD
2026-07-02T04:58:25.034Z,BRK-B,499.74,-0.65,-0.1299,USD
2026-07-02T04:58:25.034Z,JPM,334.07,6.74,2.0591,USD
2026-07-02T06:08:22.984Z,005930.KS,289000,-25500,-8.1081,KRW
2026-07-02T06:08:22.984Z,000660.KS,2290000,-270000,-10.5469,KRW
2026-07-02T06:08:22.984Z,373220.KS,356500,8500,2.4425,KRW
2026-07-02T06:08:22.984Z,207940.KS,1416000,20000,1.4327,KRW
2026-07-02T06:08:22.984Z,005380.KS,482500,-5000,-1.0256,KRW
2026-07-02T06:08:22.984Z,000270.KS,144900,3400,2.4028,KRW
2026-07-02T06:08:22.984Z,068270.KS,176900,2400,1.3754,KRW
2026-07-02T06:08:22.984Z,005490.KS,318500,3500,1.1111,KRW
2026-07-02T06:08:22.984Z,105560.KS,166900,8400,5.2997,KRW
2026-07-02T06:08:22.984Z,006400.KS,475500,-15500,-3.1568,KRW
2026-07-02T06:08:22.984Z,AAPL,294.38,5.02,1.7349,USD
2026-07-02T06:08:22.984Z,NVDA,197.58,-2.51,-1.2544,USD
2026-07-02T06:08:22.984Z,MSFT,384.28,11.26,3.0186,USD
2026-07-02T06:08:22.984Z,AMZN,241.7,3.36,1.4098,USD
2026-07-02T06:08:22.984Z,GOOGL,361.21,3.84,1.0745,USD
2026-07-02T06:08:22.984Z,META,612.91,49.62,8.809,USD
