date,ticker,symbol,price,priceDate,currency
2026-06-30,삼성전자,005930.KS,334000,2026-06-30,KRW
2026-06-30,SK하이닉스,000660.KS,2650000,2026-06-30,KRW
2026-06-30,LG에너지솔루션,373220.KS,362000,2026-06-30,KRW
2026-06-30,삼성바이오로직스,207940.KS,1391000,2026-06-30,KRW
2026-06-30,현대자동차,005380.KS,495000,2026-06-30,KRW
2026-06-30,기아,000270.KS,138000,2026-06-30,KRW
2026-06-30,셀트리온,068270.KS,173300,2026-06-30,KRW
2026-06-30,POSCO홀딩스,005490.KS,317000,2026-06-30,KRW
2026-06-30,KB금융,105560.KS,159000,2026-06-30,KRW
2026-06-30,삼성SDI,006400.KS,487000,2026-06-30,KRW
2026-06-30,Apple,AAPL,281.74,2026-06-29,USD
2026-06-30,NVIDIA,NVDA,194.97,2026-06-29,USD
2026-06-30,Microsoft,MSFT,368.57,2026-06-29,USD
2026-06-30,Amazon,AMZN,240.14,2026-06-29,USD
2026-06-30,Alphabet,GOOGL,353.65,2026-06-29,USD
2026-06-30,Meta,META,562.6,2026-06-29,USD
2026-06-30,Tesla,TSLA,411.84,2026-06-29,USD
2026-06-30,Broadcom,AVGO,372.45,2026-06-29,USD
2026-06-30,버크셔해서웨이,BRK-B,496,2026-06-29,USD
2026-06-30,JPMorgan,JPM,329.39,2026-06-29,USD
